toponymName,name,lat,lng,geonameId,countryCode,countryName,fcl,fcode
Paris,Paris,48.85341,2.3488,2988507,FR,France,P,PPLC
Ajaccio,Ajaccio,41.91886,8.73812,3038334,FR,France,P,PPLA
Bordeaux,Bordeaux,44.84044,-0.5805,3031582,FR,France,P,PPLA
Dijon,Dijon,47.31667,5.01667,3021372,FR,France,P,PPLA
Lille,Lille,50.63297,3.05858,2998324,FR,France,P,PPLA
Lyon,Lyon,45.74846,4.84671,2996944,FR,France,P,PPLA
Marseille,Marseille,43.29695,5.38107,2995469,FR,France,P,PPLA
Nantes,Nantes,47.21725,-1.55336,2990969,FR,France,P,PPLA
Orléans,Orléans,47.90289,1.90389,2989317,FR,France,P,PPLA
Rennes,Rennes,48.11198,-1.67429,2983990,FR,France,P,PPLA
Rouen,Rouen,49.44313,1.09932,2982652,FR,France,P,PPLA
Strasbourg,Strasbourg,48.58392,7.74553,2973783,FR,France,P,PPLA
Toulouse,Toulouse,43.60426,1.44367,2972315,FR,France,P,PPLA
Agen,Agen,44.2,0.63333,3038634,FR,France,P,PPLA2
Albi,Albi,43.9298,2.148,3038261,FR,France,P,PPLA2
Alençon,Alençon,48.43333,0.08333,3038230,FR,France,P,PPLA2
Amiens,Amiens,49.9,2.3,3037854,FR,France,P,PPLA2
Angers,Angers,47.46667,-0.55,3037656,FR,France,P,PPLA2
Angoulême,Angoulême,45.65,0.15,3037598,FR,France,P,PPLA2
Annecy,Annecy,45.9,6.11667,3037543,FR,France,P,PPLA2
Arras,Arras,50.29301,2.78186,3036784,FR,France,P,PPLA2
Auch,Auch,43.65,0.58333,3036281,FR,France,P,PPLA2
Aurillac,Aurillac,44.91667,2.45,3036016,FR,France,P,PPLA2
Auxerre,Auxerre,47.8,3.56667,3035843,FR,France,P,PPLA2
Avignon,Avignon,43.94834,4.80892,3035681,FR,France,P,PPLA2
Bar-le-Duc,Bar-le-Duc,48.78333,5.16667,3034911,FR,France,P,PPLA2
Bastia,Bastia,42.70278,9.45,3034640,FR,France,P,PPLA2
Beauvais,Beauvais,49.43333,2.08333,3034006,FR,France,P,PPLA2
Belfort,Belfort,47.63333,6.86667,3033791,FR,France,P,PPLA2
Besançon,Besançon,47.24878,6.01815,3033123,FR,France,P,PPLA2
Blois,Blois,47.58333,1.33333,3032213,FR,France,P,PPLA2
Bobigny,Bobigny,48.9,2.45,3032179,FR,France,P,PPLA2
Bourg-en-Bresse,Bourg-en-Bresse,46.20574,5.2258,3031009,FR,France,P,PPLA2
Bourges,Bourges,47.08333,2.4,3031005,FR,France,P,PPLA2
Caen,Caen,49.18585,-0.35912,3029241,FR,France,P,PPLA2
Cahors,Cahors,44.4491,1.43663,3029213,FR,France,P,PPLA2
Carcassonne,Carcassonne,43.21667,2.35,3028641,FR,France,P,PPLA2
Chambéry,Chambéry,45.56667,5.93333,3027422,FR,France,P,PPLA2
Charleville-Mézières,Charleville-Mézières,49.76667,4.71667,3026613,FR,France,P,PPLA2
Chartres,Chartres,48.44685,1.48925,3026467,FR,France,P,PPLA2
Chaumont,Chaumont,48.11121,5.14134,3025892,FR,France,P,PPLA2
Châlons-en-Champagne,Châlons-en-Champagne,48.95393,4.36724,3027487,FR,France,P,PPLA2
Châteauroux,Châteauroux,46.81667,1.7,3026204,FR,France,P,PPLA2
Clermont-Ferrand,Clermont-Ferrand,45.77966,3.08628,3024635,FR,France,P,PPLA2
Colmar,Colmar,48.08333,7.36667,3024297,FR,France,P,PPLA2
Créteil,Créteil,48.78333,2.46667,3022530,FR,France,P,PPLA2
Digne-les-Bains,Digne-les-Bains,44.09252,6.23199,3021382,FR,France,P,PPLA2
Foix,Foix,42.96667,1.6,3018174,FR,France,P,PPLA2
Gap,Gap,44.56667,6.08333,3016702,FR,France,P,PPLA2
Grenoble,Grenoble,45.16667,5.71667,3014728,FR,France,P,PPLA2
Guéret,Guéret,46.16667,1.86667,3014383,FR,France,P,PPLA2
La Roche-sur-Yon,La Roche-sur-Yon,46.66667,-1.43333,3006767,FR,France,P,PPLA2
La Rochelle,La Rochelle,46.16667,-1.15,3006787,FR,France,P,PPLA2
Laon,Laon,49.56667,3.61667,3007477,FR,France,P,PPLA2
Laval,Laval,48.06667,-0.76667,3005866,FR,France,P,PPLA2
Le Mans,Le Mans,48,0.2,3003603,FR,France,P,PPLA2
Le Puy-en-Velay,Le Puy-en-Velay,45.04366,3.88523,3002465,FR,France,P,PPLA2
Limoges,Limoges,45.83153,1.25781,2998286,FR,France,P,PPLA2
Lons-le-Saunier,Lons-le-Saunier,46.66667,5.55,2997626,FR,France,P,PPLA2
Melun,Melun,48.53333,2.66667,2994651,FR,France,P,PPLA2
Mende,Mende,44.51667,3.5,2994617,FR,France,P,PPLA2
Metz,Metz,49.11911,6.17269,2994160,FR,France,P,PPLA2
Mont-de-Marsan,Mont-de-Marsan,43.89022,-0.49713,2992771,FR,France,P,PPLA2
Montauban,Montauban,44.01667,1.35,2993002,FR,France,P,PPLA2
Montpellier,Montpellier,43.61092,3.87723,2992166,FR,France,P,PPLA2
Moulins,Moulins,46.56667,3.33333,2991481,FR,France,P,PPLA2
Mâcon,Mâcon,46.3,4.83333,2996882,FR,France,P,PPLA2
Nancy,Nancy,48.68439,6.18496,2990999,FR,France,P,PPLA2
Nanterre,Nanterre,48.89198,2.20675,2990970,FR,France,P,PPLA2
Nevers,Nevers,46.98956,3.159,2990474,FR,France,P,PPLA2
Nice,Nice,43.70313,7.26608,2990440,FR,France,P,PPLA2
Niort,Niort,46.32313,-0.45877,2990355,FR,France,P,PPLA2
Nîmes,Nîmes,43.83333,4.35,2990363,FR,France,P,PPLA2
Pau,Pau,43.3,-0.36667,2988358,FR,France,P,PPLA2
Perpignan,Perpignan,42.69764,2.89541,2987914,FR,France,P,PPLA2
Poitiers,Poitiers,46.58333,0.33333,2986495,FR,France,P,PPLA2
Pontoise,Pontoise,49.05,2.1,2986140,FR,France,P,PPLA2
Privas,Privas,44.73333,4.6,2985290,FR,France,P,PPLA2
Périgueux,Périgueux,45.18333,0.71667,2987967,FR,France,P,PPLA2
Quimper,Quimper,48,-4.1,2984701,FR,France,P,PPLA2
Rodez,Rodez,44.35258,2.57338,2983154,FR,France,P,PPLA2
Saint-Brieuc,Saint-Brieuc,48.51513,-2.76838,2981280,FR,France,P,PPLA2
Saint-Lô,Saint-Lô,49.11624,-1.09031,2978758,FR,France,P,PPLA2
Saint-Étienne,Saint-Etienne,45.43389,4.39,2980291,FR,France,P,PPLA2
Tarbes,Tarbes,43.23333,0.08333,2973385,FR,France,P,PPLA2
Toulon,Toulon,43.12442,5.92836,2972328,FR,France,P,PPLA2
Tours,Tours,47.38333,0.68333,2972191,FR,France,P,PPLA2
Troyes,Troyes,48.3,4.08333,2971549,FR,France,P,PPLA2
Tulle,Tulle,45.26667,1.76667,2971482,FR,France,P,PPLA2
Valence,Valence,44.93333,4.9,2971053,FR,France,P,PPLA2
Vannes,Vannes,47.66667,-2.75,2970777,FR,France,P,PPLA2
Versailles,Versailles,48.8,2.13333,2969679,FR,France,P,PPLA2
Vesoul,Vesoul,47.63333,6.16667,2969562,FR,France,P,PPLA2
Épinal,Épinal,48.18333,6.45,3020035,FR,France,P,PPLA2
Évreux,Évreux,49.02414,1.15082,3019265,FR,France,P,PPLA2
Évry,Évry,48.63333,2.45,3019256,FR,France,P,PPLA2
